attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
48 ,50 ,220276 ,87400 ,18208 ,32415 ,18208 ,15729 ,6714 ,3796 ,0 
57 ,54 ,47330 ,51527 ,17442 ,33918 ,17442 ,14497 ,6399 ,3780 ,0 
63 ,57 ,47202 ,58591 ,23067 ,32661 ,23067 ,14526 ,5807 ,3241 ,0 
66 ,62 ,43573 ,53201 ,25869 ,32024 ,25869 ,15120 ,6971 ,3307 ,0 
63 ,67 ,252029 ,68538 ,40975 ,29920 ,40975 ,13261 ,6667 ,4698 ,0 
55 ,66 ,596794 ,184066 ,51624 ,26406 ,51624 ,12968 ,7322 ,5957 ,0 
51 ,65 ,632499 ,185305 ,52777 ,26934 ,52777 ,16825 ,7820 ,5987 ,0 
45 ,63 ,655848 ,181537 ,56904 ,23923 ,56904 ,16150 ,8072 ,6252 ,0 
41 ,57 ,668116 ,201091 ,52911 ,24756 ,52911 ,14770 ,7008 ,5988 ,0 
36 ,56 ,691473 ,189288 ,50034 ,27795 ,50034 ,13302 ,6014 ,5088 ,0 
32 ,57 ,686348 ,85755 ,57764 ,47543 ,57764 ,12566 ,4695 ,2972 ,0 
30 ,60 ,818199 ,74001 ,54680 ,46054 ,54680 ,11232 ,3773 ,2676 ,0 
29 ,65 ,883534 ,80628 ,45701 ,47850 ,45701 ,10466 ,3922 ,3018 ,0 
28 ,72 ,866453 ,62403 ,49516 ,50853 ,49516 ,10351 ,4222 ,2985 ,0 
31 ,72 ,678095 ,58254 ,38442 ,44133 ,38442 ,9154 ,3436 ,2075 ,0 
33 ,71 ,667853 ,57476 ,17047 ,34818 ,17047 ,9087 ,4199 ,2529 ,0 
32 ,68 ,660119 ,80368 ,20579 ,31231 ,20579 ,7061 ,4670 ,2664 ,0 
34 ,62 ,576168 ,70682 ,17597 ,35864 ,17597 ,7758 ,4343 ,2086 ,0 
32 ,59 ,588052 ,71410 ,18030 ,30395 ,18030 ,6548 ,3531 ,1790 ,0 
25 ,58 ,694367 ,99935 ,23684 ,36015 ,23684 ,7764 ,4778 ,2047 ,0 
22 ,58 ,380417 ,87631 ,20807 ,22564 ,20807 ,6106 ,4109 ,1963 ,0 
16 ,58 ,217970 ,78034 ,22145 ,28222 ,22145 ,5720 ,3051 ,2076 ,0 
11 ,58 ,309196 ,87696 ,31907 ,21302 ,31907 ,5964 ,3545 ,2144 ,0 
10 ,55 ,319684 ,105457 ,33207 ,25451 ,33207 ,6814 ,4134 ,2324 ,0 
9 ,53 ,223880 ,91737 ,28179 ,22020 ,28179 ,5384 ,3876 ,3023 ,0 
7 ,50 ,234994 ,87945 ,30023 ,20433 ,30023 ,5078 ,3530 ,2745 ,0 
6 ,52 ,283022 ,74253 ,40422 ,17134 ,40422 ,5299 ,3540 ,3203 ,0 
6 ,58 ,211175 ,68711 ,37237 ,23879 ,37237 ,5732 ,3627 ,3063 ,0 
7 ,65 ,390986 ,58924 ,33170 ,28723 ,33170 ,5843 ,3830 ,3466 ,0 
11 ,76 ,367658 ,40267 ,33764 ,36487 ,33764 ,6082 ,3155 ,2807 ,0 
17 ,84 ,360517 ,40626 ,33557 ,39934 ,33557 ,6647 ,3219 ,3154 ,0 
22 ,92 ,304477 ,35944 ,21303 ,41030 ,21303 ,5798 ,3685 ,2534 ,0 
28 ,92 ,304065 ,28571 ,17802 ,36571 ,17802 ,5755 ,3265 ,2742 ,0 
32 ,89 ,131041 ,24806 ,23666 ,29379 ,23666 ,5800 ,2728 ,2746 ,0 
36 ,84 ,117026 ,22874 ,21268 ,28421 ,21268 ,6327 ,3147 ,3236 ,0 
39 ,86 ,141126 ,36619 ,26760 ,30562 ,26760 ,6601 ,3466 ,3109 ,0 
42 ,86 ,183309 ,38785 ,29221 ,34991 ,29221 ,8529 ,3311 ,3217 ,0 
41 ,91 ,165322 ,46758 ,30040 ,38162 ,30040 ,7619 ,3924 ,2894 ,0 
37 ,94 ,180238 ,50567 ,26985 ,45501 ,26985 ,7719 ,4202 ,2646 ,0 
37 ,97 ,178170 ,52578 ,28361 ,38312 ,28361 ,8945 ,3887 ,2036 ,0 
35 ,88 ,146758 ,59081 ,23248 ,33074 ,23248 ,8706 ,3651 ,1723 ,0 
31 ,78 ,165548 ,78901 ,25195 ,34278 ,25195 ,6990 ,3655 ,1900 ,0 
30 ,68 ,197076 ,84188 ,30470 ,31774 ,30470 ,7765 ,2949 ,1962 ,0 
26 ,57 ,187835 ,110593 ,31394 ,23146 ,31394 ,7320 ,2875 ,1946 ,0 
17 ,50 ,195758 ,114330 ,31044 ,26070 ,31044 ,5625 ,3162 ,1905 ,0 
16 ,50 ,299459 ,96906 ,36227 ,26296 ,36227 ,6965 ,3935 ,2518 ,0 
16 ,48 ,259275 ,82241 ,27139 ,16776 ,27139 ,6724 ,3888 ,2293 ,0 
19 ,49 ,218315 ,69718 ,17392 ,11542 ,17392 ,5236 ,3406 ,2084 ,0 
29 ,49 ,187091 ,32451 ,12223 ,11291 ,12223 ,5090 ,3346 ,2152 ,0 
37 ,45 ,163077 ,27271 ,12003 ,6967 ,12003 ,4409 ,2975 ,2386 ,0 
41 ,42 ,80789 ,24964 ,5515 ,5507 ,5515 ,2584 ,2185 ,1654 ,0 
45 ,45 ,64425 ,20330 ,5140 ,14707 ,5140 ,3211 ,1879 ,1854 ,0 
45 ,51 ,65965 ,18923 ,10795 ,32565 ,10795 ,5042 ,2552 ,2149 ,0 
43 ,61 ,57352 ,18676 ,11948 ,42615 ,11948 ,5557 ,2791 ,1979 ,0 
41 ,73 ,64899 ,23432 ,12497 ,46396 ,12497 ,5804 ,2690 ,1837 ,0 
36 ,80 ,54945 ,23299 ,11615 ,46583 ,11615 ,5581 ,2482 ,1780 ,0 
28 ,76 ,132738 ,28901 ,12102 ,36050 ,12102 ,4675 ,2367 ,1500 ,0 
21 ,62 ,367455 ,56367 ,13673 ,20231 ,13673 ,4030 ,3232 ,1781 ,0 
15 ,46 ,373149 ,63204 ,18395 ,12445 ,18395 ,4311 ,2937 ,1734 ,0 
11 ,32 ,376746 ,63129 ,24770 ,11120 ,24770 ,4534 ,3078 ,1783 ,0 
12 ,26 ,366588 ,73357 ,27269 ,13958 ,27269 ,5230 ,3412 ,2273 ,0 
14 ,30 ,292401 ,68419 ,33281 ,23426 ,33281 ,5899 ,3510 ,2543 ,0 
18 ,38 ,55954 ,46580 ,26566 ,23693 ,26566 ,5452 ,3708 ,2566 ,0 
22 ,46 ,58032 ,41924 ,23252 ,23727 ,23252 ,4636 ,4088 ,3181 ,0 
31 ,50 ,50968 ,38380 ,18586 ,20718 ,18586 ,4867 ,3724 ,3230 ,0 
36 ,52 ,53877 ,41220 ,18197 ,32794 ,18197 ,4930 ,4300 ,3177 ,0 
40 ,51 ,323108 ,47180 ,16314 ,31352 ,16314 ,5190 ,4255 ,2806 ,0 
42 ,48 ,342498 ,64151 ,18073 ,30002 ,18073 ,6136 ,3328 ,2392 ,0 
41 ,47 ,340610 ,64273 ,15858 ,32292 ,15858 ,6467 ,4076 ,1844 ,0 
36 ,46 ,339573 ,63974 ,12821 ,35765 ,12821 ,5997 ,4423 ,1677 ,0 
36 ,45 ,346514 ,55070 ,10615 ,33574 ,10615 ,8281 ,4183 ,1575 ,0 
41 ,44 ,67673 ,42358 ,5849 ,25197 ,5849 ,7194 ,3981 ,1443 ,0 
52 ,47 ,51359 ,20461 ,5300 ,25221 ,5300 ,7102 ,3537 ,1459 ,0 
64 ,49 ,63005 ,20544 ,7974 ,27805 ,7974 ,7602 ,2366 ,1845 ,0 
70 ,52 ,68680 ,23696 ,15693 ,27614 ,15693 ,7668 ,2298 ,1818 ,0 
69 ,58 ,48220 ,19500 ,16841 ,22555 ,16841 ,5148 ,2406 ,1793 ,0 
63 ,63 ,60301 ,19351 ,17685 ,23194 ,17685 ,5249 ,2683 ,1974 ,0 
57 ,65 ,61767 ,20416 ,17076 ,22104 ,17076 ,5109 ,2506 ,2653 ,0 
50 ,65 ,60619 ,25036 ,17907 ,20081 ,17907 ,4134 ,3080 ,2575 ,0 
48 ,64 ,130958 ,22572 ,12398 ,20406 ,12398 ,4644 ,3666 ,3272 ,0 
50 ,59 ,158620 ,19289 ,11716 ,12502 ,11716 ,4298 ,3148 ,3053 ,0 
49 ,53 ,279914 ,37913 ,14921 ,17249 ,14921 ,6374 ,4158 ,4643 ,0 
48 ,51 ,405202 ,53200 ,45849 ,25398 ,45849 ,9029 ,9412 ,6317 ,0 
45 ,50 ,440113 ,48359 ,42994 ,21429 ,42994 ,8689 ,9269 ,5974 ,0 
37 ,49 ,369553 ,55152 ,44263 ,21034 ,44263 ,8149 ,8825 ,5326 ,0 
32 ,52 ,360147 ,57178 ,46201 ,28488 ,46201 ,9059 ,9548 ,6060 ,0 
29 ,56 ,220519 ,40661 ,43416 ,32837 ,43416 ,7799 ,8643 ,4974 ,0 
24 ,57 ,107841 ,44746 ,11730 ,27339 ,11730 ,4052 ,3748 ,3502 ,0 
26 ,59 ,60384 ,44620 ,11190 ,29071 ,11190 ,6121 ,3627 ,3684 ,0 
32 ,60 ,51775 ,35993 ,7724 ,32470 ,7724 ,7278 ,3470 ,3812 ,0 
43 ,55 ,29771 ,34511 ,5549 ,25566 ,5549 ,7844 ,3714 ,3344 ,0 
57 ,50 ,51769 ,40233 ,6035 ,18733 ,6035 ,8130 ,3848 ,3156 ,0 
70 ,43 ,152022 ,46751 ,5096 ,17658 ,5096 ,12476 ,4837 ,2647 ,0 
75 ,34 ,211099 ,62796 ,6383 ,23624 ,6383 ,11285 ,4513 ,2719 ,0 
74 ,25 ,221328 ,70413 ,7281 ,19453 ,7281 ,10228 ,4509 ,2461 ,0 
69 ,24 ,228387 ,73504 ,10431 ,19537 ,10431 ,9703 ,3757 ,2485 ,0 
