attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
75,87,149499,54240,7309,42355,7309,14471,3419,2269,1
74,78,102933,30027,10474,24024,10474,8442,3262,2224,1
83,75,54676,21765,15556,17596,15556,7769,4262,2231,1
84,75,48239,15895,14153,6243,14153,5906,1887,2739,1
90,70,149987,21000,13314,10178,13314,10640,2221,1331,1
100,67,6978,8977,11507,11823,11507,21096,2206,3254,1
97,61,118567,48796,16690,11229,16690,8469,2398,2137,1
83,63,121981,59343,14131,50025,14131,6010,3678,3166,1
70,66,49173,29077,16803,23120,16803,6201,3581,4100,1
48,70,234389,41766,28885,30747,28885,5712,3497,1912,1
47,80,93725,16741,4705,25400,4705,4152,1804,4743,1
38,77,153743,91845,10871,47713,10871,3293,5660,6384,1
40,77,5796,11804,6422,17962,6422,3414,6105,4349,1
29,64,133717,80195,5641,19654,5641,2071,6973,5967,1
23,57,200766,86462,23984,23554,23984,7120,9222,2539,1
34,66,71841,14422,12594,26595,12594,2828,7079,5012,1
35,61,62245,24015,11928,6351,11928,5477,4459,2469,1
41,60,130866,24490,2057,5355,2057,1296,614,1052,1
50,70,138551,20419,9775,53809,9775,10216,5210,5438,1
56,80,11902,3760,1684,50387,1684,6088,2526,1945,1
60,90,5046,11636,14294,33349,14294,10816,2043,1993,1
64,100,31716,27749,13043,31327,13043,5190,2353,2483,1
67,94,157999,18179,6511,17520,6511,6618,2692,2596,1
57,54,63194,97818,2745,1618,2745,3694,2611,2260,1
64,41,37030,10650,5284,2777,5284,6779,3488,3310,1
51,54,14708,17632,26102,89692,26102,2939,1650,1383,1
41,60,101260,31580,12948,43406,12948,4503,3096,2509,1
48,80,24824,36707,9565,13334,9565,4077,1013,1517,1
27,88,26074,42165,13863,36645,13863,4554,2522,2616,1
38,69,377243,36900,13483,15645,13483,3987,1543,1658,1
48,70,14619,5150,386,20112,386,3564,2894,3740,1
53,67,62220,15006,4860,2831,4860,2834,2234,1674,1
60,75,44648,13557,8757,38111,8757,5249,1829,1922,1
60,75,218012,34607,8646,20913,8646,3701,1965,4173,1
53,61,18614,11114,2903,1801,2903,1252,1244,1162,1
48,67,36785,20107,11183,8120,11183,2989,3337,1455,1
48,64,57846,9023,2049,13535,2049,2027,1093,559,1
43,77,126395,21369,7669,84207,7669,3627,2016,1408,1
41,91,150059,10625,12394,24978,12394,3032,1297,1419,1
44,100,11403,5660,2432,30431,2432,4393,2338,1870,1
35,96,100662,49396,1083,44647,1083,2710,1559,1609,1
54,88,18277,6888,5596,27176,5596,8011,751,2567,1
47,84,37019,38892,13499,55810,13499,5513,1404,2734,1
63,88,11200,12662,4647,26228,4647,7320,4559,1973,1
60,100,11150,4188,11787,90128,11787,5458,1940,1495,1
48,96,66633,12551,12569,14744,12569,2185,2482,1143,1
57,87,15757,26242,12687,9297,12687,6389,1151,1035,1
47,80,83238,20770,409,19505,409,2024,2383,1189,1
54,64,15153,6609,975,16919,975,2821,1868,1064,1
67,54,5346,32908,2333,17815,2333,11555,993,2365,1
61,60,6003,15573,14567,9045,14567,2889,2903,2699,1
70,66,51354,5652,1880,28389,1880,4676,1153,1622,1
70,75,13593,3873,8073,48868,8073,7283,2283,2801,1
64,87,92762,9383,8246,24594,8246,5343,2649,4946,1
69,87,98912,14047,5065,22374,5065,5579,3123,1608,1
64,90,15445,11382,7840,52594,7840,6047,1611,1801,1
67,83,29333,7209,2512,17807,2512,4234,1715,1612,1
69,80,8910,11402,6030,20886,6030,6360,2900,1461,1
70,84,11018,6441,2639,25850,2639,4641,1615,1331,1
61,75,129563,33267,22539,15399,22539,2162,2234,1561,1
50,67,66391,53733,17107,27624,17107,5386,2011,1677,1
51,61,32125,14465,6390,6452,6390,4885,2598,1101,1
78,48,159205,24444,4516,12075,4516,7739,2854,1238,1
83,48,19111,36027,6601,25217,6601,7018,2604,2638,1
74,48,285290,47248,24459,5238,24459,4515,1650,3152,1
63,43,170887,30125,3967,11163,3967,5963,1463,3755,1
53,51,121978,20825,9755,25110,9755,3619,2133,1972,1
44,57,78506,38553,11215,58161,11215,4844,3463,2698,1
51,60,7375,19935,3701,13151,3701,3714,1993,666,1
50,56,78237,44525,1864,10509,1864,6467,3341,1419,1
