meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
77 ,101067 ,28585 ,12161 ,20079 ,12161 ,9446 ,3010 ,2159 ,1 
73 ,72563 ,19533 ,13001 ,13973 ,13001 ,10771 ,2768 ,2356 ,1 
70 ,75689 ,23287 ,14244 ,11414 ,14244 ,10776 ,2595 ,2338 ,1 
67 ,89150 ,30802 ,13959 ,17900 ,13959 ,10424 ,2478 ,2525 ,1 
65 ,89337 ,33439 ,14489 ,21275 ,14489 ,10483 ,2817 ,2798 ,1 
65 ,106218 ,37592 ,17603 ,25389 ,17603 ,9498 ,3072 ,2914 ,1 
68 ,123567 ,39145 ,16243 ,28104 ,16243 ,6109 ,2992 ,3212 ,1 
71 ,130602 ,47754 ,15079 ,35401 ,15079 ,5074 ,3644 ,4061 ,1 
74 ,107365 ,38247 ,13537 ,28988 ,13537 ,4554 ,4129 ,4298 ,1 
74 ,124274 ,48470 ,11305 ,28295 ,11305 ,3728 ,4808 ,4671 ,1 
71 ,117549 ,57409 ,10325 ,26857 ,10325 ,4010 ,5953 ,4796 ,1 
68 ,113173 ,56946 ,11902 ,27096 ,11902 ,3745 ,7008 ,4850 ,1 
65 ,94873 ,43380 ,12114 ,18823 ,12114 ,4182 ,6768 ,4067 ,1 
62 ,119887 ,45917 ,11241 ,16302 ,11241 ,3758 ,5669 ,3408 ,1 
63 ,120854 ,33962 ,12068 ,23133 ,12068 ,5387 ,5317 ,3302 ,1 
67 ,83081 ,17421 ,7608 ,28499 ,7608 ,5181 ,3978 ,3183 ,1 
72 ,69722 ,16864 ,7948 ,29850 ,7948 ,6779 ,2970 ,2579 ,1 
80 ,63616 ,17611 ,8171 ,34845 ,8171 ,6721 ,2549 ,2582 ,1 
87 ,69043 ,16349 ,9061 ,37278 ,9061 ,7786 ,2965 ,2891 ,1 
84 ,53971 ,31828 ,7655 ,26840 ,7655 ,6481 ,2445 ,2255 ,1 
76 ,58997 ,33206 ,8375 ,17318 ,8375 ,6619 ,2637 ,2528 ,1 
69 ,60929 ,34406 ,10737 ,28587 ,10737 ,5044 ,2559 ,2406 ,1 
61 ,74838 ,35172 ,10718 ,31003 ,10718 ,4907 ,2707 ,2412 ,1 
58 ,48203 ,38877 ,11329 ,30165 ,11329 ,4398 ,2372 ,2196 ,1 
65 ,40779 ,27747 ,13552 ,37171 ,13552 ,4570 ,2354 ,2267 ,1 
70 ,108822 ,32997 ,15192 ,39744 ,15192 ,4012 ,1965 ,1937 ,1 
73 ,108804 ,30500 ,10049 ,25828 ,10049 ,4137 ,2214 ,2408 ,1 
75 ,100996 ,27186 ,8431 ,17713 ,8431 ,3803 ,2041 ,2241 ,1 
74 ,104961 ,22556 ,8270 ,22669 ,8270 ,4038 ,2204 ,2322 ,1 
71 ,143348 ,21044 ,7226 ,19522 ,7226 ,3867 ,2093 ,2633 ,1 
70 ,71623 ,15887 ,5110 ,16754 ,5110 ,3320 ,2033 ,2534 ,1 
69 ,76056 ,18878 ,7270 ,14355 ,7270 ,3205 ,2122 ,2077 ,1 
68 ,75181 ,17682 ,6708 ,16496 ,6708 ,3044 ,1894 ,1854 ,1 
69 ,91530 ,19244 ,6490 ,25715 ,6490 ,2719 ,1931 ,1751 ,1 
72 ,77940 ,14448 ,7240 ,26528 ,7240 ,2585 ,1797 ,1201 ,1 
80 ,76498 ,13357 ,7145 ,32254 ,7145 ,3214 ,2016 ,1342 ,1 
86 ,89273 ,19215 ,5125 ,39560 ,5125 ,3158 ,1661 ,1373 ,1 
90 ,81359 ,18788 ,5835 ,42288 ,5835 ,4355 ,1592 ,1775 ,1 
92 ,63484 ,22292 ,7001 ,36608 ,7001 ,4732 ,1470 ,2040 ,1 
91 ,35712 ,22700 ,5451 ,36858 ,5451 ,5589 ,2122 ,2151 ,1 
91 ,35662 ,22405 ,7322 ,48798 ,7322 ,5802 ,2043 ,2076 ,1 
91 ,28856 ,15036 ,9620 ,42817 ,9620 ,5697 ,2227 ,1982 ,1 
91 ,28352 ,18907 ,11038 ,39241 ,11038 ,5373 ,2307 ,1676 ,1 
90 ,37596 ,15283 ,8420 ,31980 ,8420 ,4675 ,2503 ,1367 ,1 
85 ,38386 ,14072 ,7685 ,30119 ,7685 ,3775 ,1965 ,1185 ,1 
76 ,37225 ,19816 ,5795 ,15656 ,5795 ,4995 ,1775 ,1359 ,1 
69 ,25099 ,20420 ,6194 ,14516 ,6194 ,5136 ,1860 ,1670 ,1 
65 ,32219 ,16302 ,4033 ,18335 ,4033 ,4793 ,1860 ,1788 ,1 
64 ,18290 ,12923 ,5566 ,24207 ,5566 ,5845 ,1840 ,2110 ,1 
68 ,33812 ,13478 ,7020 ,25742 ,7020 ,6349 ,1996 ,2887 ,1 
75 ,52525 ,9706 ,7566 ,26654 ,7566 ,5154 ,2422 ,2735 ,1 
81 ,54413 ,8867 ,6221 ,35364 ,6221 ,5786 ,2164 ,2556 ,1 
84 ,50009 ,9179 ,6347 ,33247 ,6347 ,5697 ,2276 ,2554 ,1 
85 ,49072 ,10685 ,5939 ,27651 ,5939 ,5513 ,2400 ,2286 ,1 
85 ,32724 ,10096 ,4817 ,27902 ,4817 ,5372 ,2193 ,1563 ,1 
82 ,38854 ,13940 ,8312 ,26507 ,8312 ,4689 ,2015 ,1553 ,1 
78 ,49043 ,22410 ,10165 ,21513 ,10165 ,4557 ,2095 ,1528 ,1 
73 ,49601 ,23862 ,10941 ,19242 ,10941 ,4687 ,2272 ,1426 ,1 
67 ,79660 ,26470 ,10638 ,17480 ,10638 ,4963 ,2262 ,1382 ,1 
60 ,81279 ,32387 ,11431 ,17353 ,11431 ,5438 ,2460 ,1643 ,1 
54 ,112424 ,35183 ,11815 ,15321 ,11815 ,5909 ,2343 ,1961 ,1 
50 ,133324 ,30462 ,9187 ,12029 ,9187 ,6024 ,2234 ,2377 ,1 
48 ,151294 ,31734 ,9860 ,15761 ,9860 ,5771 ,2141 ,2551 ,1 
49 ,135154 ,34556 ,11199 ,24978 ,11199 ,5192 ,2263 ,2843 ,1 
52 ,132807 ,31337 ,10619 ,22565 ,10619 ,4531 ,2140 ,2449 ,1 
53 ,91397 ,30793 ,6100 ,23619 ,6100 ,4921 ,2479 ,2102 ,1 
56 ,76447 ,27949 ,5441 ,25845 ,5441 ,4366 ,2708 ,2168 ,1 
55 ,74122 ,29297 ,4681 ,22943 ,4681 ,4582 ,2995 ,2160 ,1 
53 ,88437 ,29090 ,3833 ,15447 ,3833 ,4948 ,2912 ,2390 ,1 
53 ,94498 ,30816 ,7038 ,21879 ,7038 ,4554 ,3226 ,3055 ,1 
56 ,91207 ,25126 ,8023 ,27410 ,8023 ,3947 ,3543 ,3200 ,1 
58 ,103425 ,34465 ,10716 ,27707 ,10716 ,4192 ,3479 ,3000 ,1 
63 ,115206 ,34740 ,9636 ,34237 ,9636 ,3943 ,3540 ,3281 ,1 
67 ,86205 ,29255 ,8381 ,38371 ,8381 ,4348 ,3797 ,2999 ,1 
70 ,106854 ,27416 ,5722 ,38775 ,5722 ,4815 ,3921 ,2662 ,1 
71 ,97056 ,29720 ,5156 ,34338 ,5156 ,4891 ,4062 ,3207 ,1 
