delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
676385,66134,110497,92158,37571,222255,7994,7769
42163,13311,4903,3482,2929,6228,2205,2154
1952137,346299,86967,122754,3403,147279,4936,5822
100484,23746,5347,7161,5791,13887,8532,998
16983,7961,3477,6786,5161,12555,5898,7755
378175,119715,7929,75592,11307,103590,3663,4392
701653,37985,23263,28585,18287,39251,28358,20088
309764,99630,6460,58418,8663,99124,3598,3136
1281355,10358,15717,32501,144634,327968,11685,6328
538854,41420,9490,42421,30443,177201,3609,3731
506784,43194,11544,8395,12333,124327,4547,1728
221932,16605,1236,5132,20901,36612,1448,1106
707868,102224,16559,34902,6253,10967,14965,1837
1185173,9344,1104,2527,9114,39598,1505,1456
824440,24824,1559,2721,10262,14520,18359,1107
1314889,282875,15935,117550,16209,167045,10490,6326
590856,7004,2740,18168,9676,46751,3259,975
33365,7666,3909,1815,11298,37383,2821,775
428666,12132,4579,19356,7215,30399,4657,3760
733568,15516,2396,7499,8716,36293,1791,1456
213141,30992,2987,37448,3549,32278,1118,1424
1281532,277339,9114,92484,14740,127480,19036,4120
1607765,42706,25788,35983,49228,100534,6695,2609
2873629,854474,51154,158236,190214,649073,18272,21721
1201184,62394,19009,58456,26723,79412,8986,2257
2768946,207300,146116,459863,15714,369535,18342,20841
925982,51271,6653,33050,95199,140631,2084,5068
153256,15859,4098,8161,10532,43392,705,969
537550,53755,16906,45925,15132,159654,5903,3301
1256410,163262,47678,41245,51412,51632,32769,2807
2405220,285629,167793,205700,203833,747893,19229,16677
1318524,631684,48484,110714,146428,545030,9860,11016
304467,24856,4489,4946,19918,35253,868,1168
1352652,77909,39868,29040,60834,127989,3162,3962
1134057,28595,5957,39241,46328,143919,3269,2398
1770378,70083,12170,16356,49257,144774,2366,2011
486077,20332,19308,5368,11008,37692,525,763
1225357,128321,18873,22613,43226,139040,4073,1980
371004,10444,2023,11303,16956,28360,527,804
266009,28749,3760,8652,4018,28560,1437,769
512815,12661,2897,7696,19128,28946,494,648
957511,182668,2834,42537,34578,141409,3989,1781
134948,33405,64,12514,3559,29983,1349,1242
293550,33298,3427,12338,5616,32037,614,545
716945,15725,3177,10999,14805,29473,238,743
576380,20192,2469,9989,15572,29375,764,670
1522398,45042,8702,53670,57294,111658,2001,3566
917265,20843,12821,4518,16888,9302,3602,871
215943,8789,3066,5333,5971,7473,4074,1131
1329605,67197,16931,30859,28616,10046,13429,2958
367851,12413,5723,6898,4002,12530,2347,323
277187,347560,73759,74308,96243,72322,120333,10043
244877,39514,16782,49133,15420,21704,22480,3089
1382518,15034,19481,42099,30293,40259,28114,2018
1109518,8761,3164,3724,32615,89296,970,1469
323449,417378,121418,75411,164994,63052,42612,5684
924595,476134,95554,167361,49266,81608,30839,6333
503856,6123,3069,1304,8820,10675,1316,349
236861,17858,2287,4705,6132,3533,3012,213
1623817,834790,61167,29431,128841,32972,49844,7092
995145,359017,109447,97988,84040,23642,99294,7366
586869,61026,15311,13058,16292,13122,6944,2111
600207,55412,24629,15977,53059,11214,16124,1073
575857,231637,33868,149504,151544,48477,39293,7044
490183,70478,14253,2498,15143,7477,19381,1200
183448,4764,998,2238,4358,1595,7259,491
990035,68831,35084,18429,30315,16533,9740,1731
622719,7656,987,558,2680,17184,558,321
1787593,11618,6077,10703,12083,13294,15645,2024
722296,470040,62214,103421,80228,37358,48426,6567
655718,146249,39320,128716,89314,26523,111598,8809
403296,33750,1670,6794,1918,6228,1451,513
972948,119536,25148,9910,9683,9887,23736,1805
490195,373165,76911,76059,27267,62746,17703,4482
166270,115769,10521,26059,14113,19405,21178,1491
3130910,146489,17517,24571,16803,53796,8887,2242
1280118,280883,37850,339125,36275,146239,63194,17174
1154843,46597,25100,37898,32382,34149,41037,3564
