attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
53,63,1754372,66495,8095,22003,73009,33199,2658,1213
48,66,869807,138343,65758,21346,39053,15113,3062,1009
44,64,218484,41723,9162,4179,6274,2665,884,516
41,64,843589,80360,18768,8569,15792,13583,2014,1559
38,78,2306365,112847,113770,110573,49383,69110,15666,3767
40,77,201331,34517,1283,14919,3972,4262,733,559
43,83,330917,68997,3660,39516,6247,9986,3160,2469
37,78,1470118,121319,20417,10274,53084,7210,2819,3533
20,64,559318,63235,9510,5122,2998,1222,401,274
17,54,851418,144067,4856,21234,37633,10265,3203,6426
17,56,1022303,58928,41689,16422,21884,10428,7396,2107
