delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1051020,222594,12416,22636,12151,5220,2259,1163
1059671,169860,62813,6316,24913,9857,5248,5087
335265,199340,41774,22985,16070,15628,2409,3689
72995,173969,13309,9817,29758,6909,3288,4525
366325,71385,13372,5956,8870,9680,3072,2502
834779,102301,47954,15799,22975,7516,2365,3752
237284,17195,5601,8358,7728,2494,501,306
802117,443079,269531,385455,312959,248463,72765,20192
161935,133356,78538,14967,9844,6423,3526,1165
419234,40529,8901,8067,10789,3935,1465,449
386069,113450,12452,10088,4230,3773,7327,4715
574348,116667,19909,6025,11225,5240,1659,2761
81853,99557,7978,5113,599,966,576,190
63693,146617,64915,11018,22068,4459,6001,4281
23729,52698,17085,5519,1958,10830,3210,2305
1361715,311105,139810,57518,16438,12298,3391,3314
313600,6351,3158,1786,604,919,405,157
205126,41512,31544,13355,10349,11515,4513,1333
40965,27193,8315,19352,6579,5753,3156,1753
17746,31659,838,4424,5120,3170,3791,1950
17414,33636,9241,6186,3645,3923,5286,1865
13969,19521,8510,13118,8147,3255,3550,2367
43823,24808,11424,6302,8186,8462,2329,1349
40394,19976,5741,7351,18288,2267,3348,2910
32155,12652,3122,3575,4865,12057,3195,767
13509,8184,8714,3633,3476,2922,1761,1199
50980,19035,7387,9901,11381,4802,2085,1314
18763,44515,19211,8678,1448,1736,1478,421
133707,62689,45181,19473,15500,12117,5499,4671
88210,31496,16732,21936,7247,6451,4034,2505
41439,23614,3259,981,8122,6671,3273,1617
31543,28003,13354,14052,5475,5360,1970,1918
54843,113204,42937,4328,5351,8894,6563,1979
31076,47635,17365,56109,8088,7836,2810,1039
14276,6761,15538,2241,1144,6863,5950,1195
30252,10201,5990,4507,5236,6743,2089,2104
456397,17169,4833,6367,11263,7556,7601,3256
21752,22299,1864,10297,4279,3767,1323,1395
229969,28733,6542,6166,2206,1725,612,974
67763,14122,34898,4613,5254,10186,4380,3296
2608,43444,6817,11474,11874,5710,1730,1375
648296,68808,10382,3542,4978,7150,6362,3344
689553,92736,14703,10373,10801,5691,3083,4058
10761,40831,2121,1476,3977,6726,1944,1217
207580,80856,23917,32062,11199,5645,4210,1766
166864,25156,3007,2609,3862,2633,1078,833
136208,154726,19208,7722,17983,9102,4986,2222
52609,29111,6568,3417,5857,2409,1149,934
14958,60856,19067,19738,7892,6874,4617,1338
17731,14035,21351,13137,7700,6329,2327,2699
12771,43814,103292,1441,8401,3483,4263,2213
32480,40070,9284,8388,5509,4151,1613,3481
54982,40151,108168,15834,14137,18914,1983,1459
65461,38570,3263,38329,11657,6673,2412,2283
230445,58017,18970,8610,6815,6314,3100,3615
633220,41880,31995,29568,12960,12455,8632,3974
58756,27618,9058,8839,1522,2917,482,636
29045,19565,29444,48039,2354,3653,2456,720
502567,7368,36184,54846,13900,9817,5517,1338
13261,31735,11053,11007,11840,10474,3596,2288
15517,66419,9709,9402,9299,3583,5024,2897
24452,28514,15942,17968,5161,11420,4292,2506
10066,8492,20276,6779,5210,7384,2207,1556
33157,30673,6238,5318,10355,10816,3593,4942
18344,18856,2558,8234,9993,6461,2059,1490
216918,44788,10513,9198,9200,5777,4031,2341
240546,123376,13169,22077,10164,8248,8790,2680
1969640,34346,7287,26430,9422,4461,1954,550
42700,65108,71466,16703,9722,3517,2123,2775
486918,19717,33282,28130,12164,13201,6974,3364
678137,193360,24967,11853,28926,7184,3942,3366
144341,6121,520,238,222,283,63,46
265278,89671,6634,9680,3736,8771,4838,4365
2649493,374880,13247,7073,12353,15339,14439,3749
1238081,36497,10864,6324,4566,2081,2141,476
94563,51889,3272,3398,1068,3348,851,255
294613,88182,13632,13137,3768,5320,2110,1596
37683,12734,16495,6747,9671,6931,2030,656
108282,96160,10678,1806,6859,7182,2866,735
30296,9299,82697,11687,8452,5471,1373,1251
50004,41599,16304,4466,7791,3332,4488,2441
16050,22019,18910,9671,15384,2844,3231,2177
196003,28943,11124,22298,26192,4522,6646,1956
651118,66047,29296,14254,3290,7708,4471,4957
73393,11142,27560,7987,2017,7101,3130,3752
7922,24764,5835,2749,7557,12685,6588,1019
9686,32566,7794,9142,4258,5702,1953,2618
909278,345438,15991,33933,53178,9582,5835,3757
268000,103994,18353,12303,23319,25190,3660,3694
97235,26132,3493,19255,3684,9525,1526,3159
36854,25278,8971,1873,9398,11383,4379,2980
68638,19085,24128,1512,9330,7458,1432,3890
21552,42715,13378,19629,11572,7235,3035,3760
27469,30202,13098,23146,8439,6616,1781,1695
27189,34701,16904,10401,9352,1848,1985,1272
72472,35776,10025,10687,13876,7060,4710,4042
15553,12650,8213,4510,4199,4503,5289,1190
54999,10555,12131,7770,14203,7228,3578,798
15574,6701,19347,13155,8874,7500,4710,1787
16774,19145,13392,3809,1948,11718,3368,5220
