delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,level
568491,30447,25689,2799,5384,5295,2925,2061,0
67053,61106,48638,6352,31910,9533,4494,6442,0
53574,25885,19819,2146,3731,6453,6805,2731,0
841944,44488,19035,13747,6897,5288,5030,5075,0
11334,209122,17708,9909,2428,6402,2642,8163,0
59569,28351,23559,5837,1648,1702,984,812,0
34520,167711,6943,5657,31270,24431,4565,1832,0
509732,388444,154940,7547,17959,18438,5183,4364,0
865410,360171,77355,19692,25549,17281,8647,3231,0
29750,25337,34816,5763,12843,3010,5454,1592,0
16533,28458,47665,13594,8151,5721,4865,1648,0
17876,22101,55282,4104,8483,9992,3148,1488,0
18673,20994,6225,36045,4909,9119,13027,3780,0
23072,69836,8198,2457,3171,7118,5531,1503,0
29577,8878,20596,60728,10283,7515,3182,4031,0
307011,70979,2677,4148,4620,1765,1503,959,0
63352,24183,9664,15488,3620,12998,2595,5119,0
27946,12661,11097,8029,8096,13357,3247,6951,0
21746,27399,6627,17284,3869,5237,2141,2029,0
232261,24976,9104,2690,1392,1436,690,799,0
53359,29863,1345,677,1106,1666,810,807,0
38817,32268,17791,5506,5235,11899,4798,4881,0
71219,32445,36299,6476,2464,8739,4823,2311,0
491216,46077,6714,4427,2426,1806,670,1141,0
715777,1083173,19257,12794,21212,9198,2386,3381,0
74038,30296,6782,6920,2932,3129,1059,2011,0
214659,84985,49848,2632,5662,2243,3738,694,0
37027,21174,8670,14086,10659,9456,5457,5265,0
53854,13461,24107,50353,8007,10635,3964,3896,0
20693,32037,4602,5818,6507,8626,2694,2434,0
54570,13055,2135,12168,5230,13864,4256,1634,0
139090,117484,15965,22266,6525,5993,1448,1298,0
68318,11788,7019,2387,1371,637,645,97,0
22970,24422,47132,5696,6925,6796,2632,2957,0
29218,114774,65154,4139,8403,5377,3891,4068,0
16908,31067,15927,8560,3863,4834,3430,3819,0
1742693,202806,59738,22616,53816,15378,5845,15928,0
584178,143523,26209,11130,24927,20077,17845,8810,0
25415,32437,14760,17633,15895,13368,13218,3330,0
16029,58824,31311,9019,12745,12638,28634,5337,0
3270,15897,5155,9743,15623,38530,14835,15908,0
716959,119815,7466,2907,3135,3526,6295,1116,0
89737,16512,1659,2009,3874,3518,2326,2187,0
49535,30384,13856,7633,13092,13953,13067,8794,0
714483,37391,4125,13598,17127,19647,20529,10158,0
12647,15445,2290,8713,7632,11009,11548,7422,0
194378,18773,3651,3008,1868,4632,2310,1237,0
191519,74791,49568,11687,6838,14607,17098,6858,0
53583,41379,8784,1719,7319,6081,6576,3248,0
1635352,219317,86558,8402,18964,17103,13423,6825,0
25535,33091,41927,4682,3351,11506,7647,6871,0
1225181,584090,106008,34354,14795,11124,45475,19681,0
218295,114603,39009,7753,20022,11508,13177,8223,0
41763,9036,40709,11654,3486,14341,7490,6459,0
32566,26302,21819,3907,11491,2947,5644,5706,0
378912,57627,6375,9302,4199,3744,1386,680,0
1167491,155450,27414,22332,25918,10569,11255,16398,0
741148,239600,15422,17879,8526,6287,8755,9477,0
124705,20888,2521,4151,5978,2040,2530,3247,0
1387264,181353,53383,55741,23428,11354,14777,13559,0
751778,167944,8692,21126,11976,6251,6881,3872,0
1724467,1891021,364647,319448,190408,234786,62413,191076,0
242943,358188,65624,39185,47541,21851,11026,11913,0
98798,56171,2385,11438,11268,3238,5129,4370,0
113849,6955,13879,2036,9540,2743,2425,2462,0
841842,124221,33995,27052,34869,21170,9832,12825,0
1431821,2314552,245534,56926,42758,53384,37663,87946,0
649926,236149,63102,26052,22638,7813,11221,16494,0
660028,210097,34141,45361,16691,12592,7079,13655,0
119892,346663,1468,7039,10614,11454,23866,16590,0
1041681,36759,19006,35236,13076,9816,26065,19604,0
922222,195829,50006,71298,29013,13886,16886,9285,0
2273376,629974,395620,86668,163622,235347,75084,46105,0
788378,41698,24744,15540,14813,14714,13452,11315,0
727145,193577,22501,20449,14502,7638,6633,8518,0
572484,112260,66113,3215,11607,23099,25116,2208,0
152732,35618,11883,11177,2912,3707,7620,4992,0
793953,56218,15459,16006,18322,12181,7875,5993,0
644009,26878,17334,29535,28621,5424,9471,10469,0
968289,144784,5300,20609,48185,10588,17278,9373,0
227897,215084,65542,76174,14258,28079,29006,3229,0
158933,58442,28841,18330,18456,5167,8478,3725,0
83598,8064,10349,434,3246,528,715,1069,0
1304587,54416,6889,14213,25191,10531,7220,10966,0
344661,59511,12938,23748,6092,8308,9445,4404,0
1900587,479488,340446,133502,110787,52598,125407,83085,0
952450,1231232,174554,118385,78679,66712,97795,48664,0
1265179,183452,7275,38406,10467,5509,22893,17101,0
1168413,428377,373320,55856,65702,66499,77848,42301,0
818330,131120,17027,17103,23202,16856,19108,6385,0
1265461,287667,10928,14479,25879,32220,14222,17586,0
592166,167785,68610,75629,8073,9345,10755,11709,0
597796,32226,94328,9689,13194,8874,5421,5359,0
670480,134148,28412,23548,9870,5952,7082,4400,0
1642799,636168,18261,81274,65562,46066,34314,30146,0
1696140,281922,113735,66619,43122,61236,25751,46534,0
205290,46993,18454,2187,12978,7839,9205,1717,0
378397,30446,5345,4318,4129,4382,3509,2021,0
10184,39713,41861,4794,16900,32446,8874,19619,0
1607712,723227,14761,10595,19025,21869,37927,23742,0
1799622,26974,33913,55444,69590,17469,12774,19184,0
1030275,520647,67374,26764,70151,26261,101243,29554,0
367486,51860,11919,10890,1003,2885,4293,2339,0
211309,11655,473,28133,11340,3667,4454,3806,0
1408261,665755,340816,43268,86395,30782,51072,24229,0
397406,46561,49915,16450,11511,6952,12561,4834,0
1925210,405756,263439,31825,68152,60960,23420,31503,0
551659,342094,23185,15195,17674,14906,9485,4863,0
502652,175179,12332,22085,5638,11618,24756,10808,0
609154,265197,6481,4358,10846,4896,5288,6630,0
745834,105796,32451,19212,14657,16648,11477,10385,0
1232115,153052,36681,32540,22974,21655,13069,13144,0
775676,170944,19743,16945,4925,12989,22896,32968,0
655388,70829,32388,7766,4446,10217,13099,3706,0
970971,126431,18958,17021,13812,4425,9782,16086,0
441022,125909,13677,10946,9395,9669,12477,9966,0
