delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
202718,32619,46017,28252,13791,5111,1455,2350
10586,44277,4578,14195,6314,4930,551,870
28574,18159,26842,12077,5314,7956,2120,1119
26084,30529,888,6078,9403,5674,1978,1449
10722,31653,3294,18037,3042,3647,1251,1014
67235,20635,27327,56502,22614,2392,2033,2555
21290,12470,28522,241138,24297,6733,1168,1243
37121,29547,10206,11297,12530,6296,703,881
18820,51280,10420,3168,6499,4522,521,889
229717,85336,15789,19922,2866,3678,1327,995
73273,37812,6297,66026,15386,2029,572,1591
25719,17451,5132,43613,2266,2128,2153,1250
18296,8697,32862,2514,6546,7583,1639,1103
25256,78018,8122,16654,4671,2240,1066,1099
8187,31499,13122,25881,7230,1613,1973,2020
58711,20168,5349,111360,12208,3113,580,1138
26931,10965,12744,16361,6460,4249,1056,1394
29058,21834,21637,16981,10351,8855,1873,1049
95908,8545,10764,33657,12126,4265,2943,1341
50725,88921,16790,2518,3250,7039,1417,951
65190,16887,39344,42095,24100,4972,1531,1642
14186,16620,11875,38670,5116,6442,1755,1807
32992,94136,11442,15855,2498,4751,1600,2110
82005,46012,33127,32260,12321,2133,3793,2930
40052,20589,493,90478,19532,8613,1564,1199
46437,35319,48070,36341,21546,5836,803,1028
34133,114878,14345,152656,22073,2250,1611,722
22685,15038,2283,7788,7036,2109,1718,769
50729,5454,15803,7662,6060,4401,1311,685
27377,33228,6873,9711,7491,3319,1191,875
38303,39209,26026,49214,18421,6141,1688,1385
90979,16755,11643,18195,5134,4345,2088,937
37435,38066,13529,17645,9163,2487,1499,1348
17552,11867,8542,52694,35610,2449,729,1463
20588,13284,19548,34720,125837,5715,878,1323
28782,73256,25434,68257,2729,2032,2133,1840
26679,39953,2295,28578,22263,5645,1044,369
8976,32815,2451,16550,13698,1798,1730,858
31604,53566,12946,105225,21477,3992,764,1190
27463,67866,4106,161148,57892,6748,2409,718
20576,38369,8765,126473,10993,5031,3560,1706
52669,17891,1653,29910,10823,3159,648,430
18896,37868,31487,82495,28651,4372,2988,566
10662,11914,26157,62632,8555,4403,1209,715
92536,28374,17726,20932,4073,5248,1817,721
21789,18125,13501,9232,87322,4226,3218,934
65842,130734,7765,36145,6594,3607,2557,1167
41712,36794,7086,293570,37379,6301,1458,1871
476738,74026,13041,117646,15099,8105,1692,2036
32686,33028,9598,17760,8334,1996,727,1236
19333,22212,12188,3140,18081,2479,731,814
20526,60332,9973,27204,32038,5988,2468,780
26154,55175,16640,232220,8742,2414,491,887
61710,73199,74741,89838,102455,3696,1578,569
9618,42716,2536,6422,46152,3037,1101,575
38798,24809,29751,6241,22208,3740,2763,1168
29707,15535,48704,18926,5559,2745,1029,832
39727,40492,6817,8340,4696,2249,746,820
12351,24894,49635,17826,7202,2049,982,525
34261,82434,2468,74047,26212,8633,1547,923
53499,28670,21701,65187,13753,4803,627,1124
642337,71399,1664,53133,43207,13351,519,836
135645,109520,16715,60709,61613,7351,1530,1726
22371,15364,18475,99477,87255,18839,766,679
21197,12348,5041,39380,34429,4335,2265,827
8433,35214,8215,11766,5292,7512,2523,822
6296,44709,9079,3458,3332,3956,1124,1401
11101,40068,11834,3681,8901,2541,1251,611
57419,53687,12511,7267,11794,1663,1529,708
34180,11373,14803,14387,7321,3239,1086,712
65559,22727,5956,9348,9710,2393,958,825
10765,13567,5449,15458,21694,4870,1182,720
5771,16035,7306,56910,97472,1815,785,714
30695,52892,4916,3310,4847,5445,983,967
3971,57689,7042,10035,5121,1728,969,951
29093,16924,7672,8282,10745,4560,2700,1008
32427,34306,3054,10981,1623,1782,2143,1116
2115,23836,4977,21565,8449,3977,1891,887
18395,41527,22530,9396,6776,6135,1092,1006
20717,27963,12432,9264,3622,4169,1004,753
