delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
15456,23597,10998,17514,7737,2243,1727,775
6126,48919,36664,6811,4635,3871,3114,903
17954,27150,20197,6683,5021,4433,766,873
18762,46664,19009,8428,4029,4808,2017,360
1033,17964,36976,25721,18588,5209,745,913
3996,39326,3937,22073,11109,8320,1983,803
24395,63341,9328,15892,1187,5358,675,864
4135,35608,13092,9450,10778,4707,2035,991
5972,43228,6183,7488,8099,3560,1237,1476
9854,15469,29580,23960,9288,4784,3396,1013
10256,54754,7147,1058,2319,3817,1505,1112
46697,20697,9207,10295,13833,4487,1244,841
6014,13602,9417,6528,7078,6048,1573,577
7535,26827,727,14479,6816,3806,2754,1158
8347,14359,4896,8543,5233,3315,1518,1819
49380,38528,33486,1929,6189,2183,1435,1498
4607,29053,21695,7668,8055,2370,2149,517
10740,12655,1905,8179,4300,7294,1599,1053
13709,58070,21671,7518,6172,2772,2265,1016
353743,49634,19964,15222,5448,4617,1690,1914
277436,120156,43915,16342,24751,15567,6000,5082
7343,16870,15118,2253,3328,3680,1078,1436
49657,42952,4409,10193,5908,3266,1489,393
22945,37364,14990,1908,4449,2869,2662,1706
6239,20183,49853,18924,8620,4940,2546,2459
12513,32741,5694,4344,4917,5761,1310,1371
7819,14795,12565,10477,4324,6982,1424,806
26528,65852,12084,23540,18532,3846,3060,1326
78618,47666,4259,8579,4832,8803,2044,1580
9404,53544,3065,11759,6250,3409,1458,1080
4854,10836,1931,5752,3623,3246,1880,925
9114,19477,3043,3636,8923,6522,1757,890
2328,10228,15039,4737,4806,2366,1685,1285
8313,25269,2352,4275,3915,5340,1466,663
3956,25437,12542,6298,7976,10620,1196,776
12500,33999,3335,24463,7522,2434,1369,743
14179,33135,8574,29927,2683,3262,1938,1417
5330,14075,100632,8320,5364,5542,2379,1864
6349,15598,47914,18539,6338,6647,1331,2170
1589,39777,52472,8947,8703,4544,1546,1420
2567,18330,20949,18909,1683,3452,1730,1162
7427,38951,33293,1197,8701,8066,3516,1142
6518,30046,2622,7390,5643,7099,907,1336
2580,10334,11402,2413,6212,2089,1976,1737
16103,12438,16782,4492,2609,4290,2316,843
3331,17062,15890,8991,6847,1504,1720,1989
5009,12040,13928,6465,5942,2306,1148,1902
6989,44219,14635,4162,4261,2131,1942,1040
4077,10097,1763,633,2376,4864,1221,1358
11152,20759,19665,5048,7797,3356,1334,1312
19007,7513,5594,8004,6497,4854,2758,1768
14732,6611,6633,3829,4452,5480,1343,1522
9469,5800,10761,4539,5866,2667,2270,654
22413,23730,19307,3387,7994,3942,1699,1171
9655,12335,10901,3231,4874,7198,2063,691
19798,6543,3284,5840,4538,3050,2743,1746
6287,17737,3785,1575,10338,2836,1737,970
14952,31082,21263,5880,8172,2896,1615,812
27122,31110,20341,1612,4448,4572,2877,1239
12237,34391,10050,7731,8930,3493,1469,1787
2185,19254,1045,7583,3953,2414,2140,574
7466,24310,4904,9172,4480,6894,1145,931
48883,41666,16866,4842,13708,12131,1364,440
9630,20093,42549,2971,6663,8545,1359,1494
9004,8938,7521,3433,4073,4927,1495,728
10049,15933,8577,5870,4656,3359,2396,1664
35179,20476,15107,2339,9015,4551,1212,1197
79721,23472,28755,16038,8240,7184,2124,3255
28964,52952,24146,7545,9330,7646,2087,2457
18908,44537,10653,4632,8245,4735,938,1437
29908,29468,1966,3129,5765,3844,1512,1061
25895,53248,47548,22807,3916,9515,1048,763
11794,26036,7702,12546,5381,6940,1538,975
16890,15490,5797,7534,5399,5696,1124,1325
37906,21960,10471,14749,3898,4390,1092,2233
51217,50613,16185,4677,5018,3795,1761,1053
69506,24161,10279,6647,4157,6443,1359,537
15749,16826,17709,10172,1841,7114,1628,969
16288,14042,7945,13927,7657,3518,2610,412
